,bet,count,money,result
0,10.0,0.0,10000.0,尚未開局
1,10.001999999999999,1.0,10010.0,Win
2,10.000999799999999,2.0,9999.998,Lose
3,9.999999700019998,3.0,9989.9970002,Lose
4,10.001999699960002,4.0,9999.996999900019,Win
5,10.004000099899994,5.0,10009.998999599979,Win
6,10.002999699890005,6.0,9999.994999500079,Lose
7,10.005000299829982,7.0,10009.997999199968,Win
8,10.007001299889948,8.0,10020.002999499799,Win
9,10.009002700149926,9.0,10030.010000799688,Win
10,10.011004500689957,10.0,10040.019003499838,Win
11,10.010003400239889,11.0,10030.007998999148,Lose
12,10.012005400919936,12.0,10040.018002399389,Win
13,10.014007802000119,13.0,10050.03000780031,Win
14,10.013006401219918,14.0,10040.01599999831,Lose
15,10.012005100579797,15.0,10030.00299359709,Lose
16,10.014007501599913,16.0,10040.01499869767,Win
17,10.013006100849752,17.0,10030.00099119607,Lose
18,10.015008702069922,18.0,10040.01399729692,Win
19,10.014007201199716,19.0,10029.998988594849,Lose
20,10.013005800479595,20.0,10019.984981393649,Lose
21,10.012004499899547,21.0,10009.97197559317,Lose
22,10.014006900799526,22.0,10019.98398009307,Win
23,10.016009702179685,23.0,10029.997986993869,Win
24,10.015008101209467,24.0,10019.981977291689,Lose
25,10.014006600399346,25.0,10009.96696919048,Lose
26,10.013005199739307,26.0,9999.952962590081,Lose
27,10.015007800779255,27.0,10009.96596778982,Win
28,10.01701080233941,28.0,10019.980975590599,Win
29,10.019014204499877,29.0,10029.997986392938,Win
30,10.021018007340777,30.0,10040.017000597438,Win
31,10.023022210942244,31.0,10050.038018604779,Win
32,10.025026815384432,32.0,10060.06104081572,Win
33,10.024024312702894,33.0,10050.036014000336,Lose
34,10.023021910271623,34.0,10040.011989687633,Lose
35,10.022019608080596,35.0,10029.98896777736,Lose
36,10.024024012002211,36.0,10040.010987385442,Win
37,10.026028816804612,37.0,10050.035011397444,Win
38,10.028034022567972,38.0,10060.061040214248,Win
39,10.030039629372485,39.0,10070.089074236816,Win
40,10.029036625409548,40.0,10060.059034607442,Lose
41,10.03104243273463,41.0,10070.088071232853,Win
42,10.033048641221177,42.0,10080.119113665587,Win
43,10.035055250949421,43.0,10090.152162306807,Win
44,10.034051745424327,44.0,10080.117107055858,Lose
45,10.033048340249785,45.0,10070.083055310433,Lose
46,10.035054949917834,46.0,10080.116103650684,Win
47,10.034051444422841,47.0,10070.081048700766,Lose
48,10.036058254711726,48.0,10080.115100145189,Win
49,10.038065466362669,49.0,10090.1511583999,Win
50,10.037061659816032,50.0,10080.113092933538,Lose
51,10.036057953650051,51.0,10070.076031273722,Lose
52,10.035054347854686,52.0,10060.039973320072,Lose
53,10.034050842419902,53.0,10050.004918972218,Lose
54,10.036057652588385,54.0,10060.038969814637,Win
55,10.035054046823126,55.0,10050.002912162048,Lose
56,10.03706105763249,56.0,10060.03796620887,Win
57,10.039068469844016,57.0,10070.075027266503,Win
58,10.041076283537985,58.0,10080.114095736346,Win
59,10.043084498794691,59.0,10090.155172019884,Win
60,10.042080190344812,60.0,10080.112087521089,Lose
61,10.041075982325777,61.0,10070.070007330743,Lose
62,10.040071874727545,62.0,10060.028931348417,Lose
63,10.04207988910249,63.0,10070.069003223145,Win
64,10.04107568111358,64.0,10060.026923334042,Lose
65,10.04007157354547,65.0,10049.985847652928,Lose
66,10.039067566388116,66.0,10039.945776079383,Lose
67,10.038063659631478,67.0,10029.906708512995,Lose
68,10.040071272363404,68.0,10039.944772172626,Win
69,10.042079286617877,69.0,10049.98484344499,Win
70,10.0440877024752,70.0,10060.026922731608,Win
71,10.043083293704953,71.0,10049.982835029132,Lose
72,10.042078985375582,72.0,10039.939751735426,Lose
73,10.041074777477045,73.0,10029.89767275005,Lose
74,10.040070669999297,74.0,10019.856597972574,Lose
75,10.042078684133296,75.0,10029.896668642574,Win
76,10.044087099870122,76.0,10039.938747326707,Win
77,10.043082691160135,77.0,10029.894660226837,Lose
78,10.045091307698367,78.0,10039.937742917997,Win
79,10.047100325959907,79.0,10049.982834225695,Win
80,10.049109746025099,80.0,10060.029934551654,Win
81,10.051119567974304,81.0,10070.07904429768,Win
82,10.0531297918879,82.0,10080.130163865653,Win
83,10.055140417846276,83.0,10090.183293657541,Win
84,10.057151445929845,84.0,10100.238434075387,Win
85,10.05916287621903,85.0,10110.295585521317,Win
86,10.061174708794274,86.0,10120.354748397536,Win
87,10.060168591323395,87.0,10110.293573688741,Lose
88,10.059162574464262,88.0,10100.233405097419,Lose
89,10.058156658206816,89.0,10090.174242522955,Lose
90,10.060168289538456,90.0,10100.23239918116,Win
91,10.059162272709502,91.0,10090.172230891623,Lose
92,10.061174105164044,92.0,10100.231393164333,Win
93,10.060167987753527,93.0,10090.17021905917,Lose
94,10.05916197095475,94.0,10080.110051071417,Lose
95,10.061173803348941,95.0,10090.16921304237,Win
96,10.063186038109611,96.0,10100.23038684572,Win
97,10.065198675317234,97.0,10110.29357288383,Win
98,10.067211715052297,98.0,10120.358771559146,Win
99,10.066204993880792,99.0,10110.291559844094,Lose
100,10.065198373381405,100.0,10100.225354850214,Lose
101,10.064191853544067,101.0,10090.160156476833,Lose
102,10.063185434358711,102.0,10080.09596462329,Lose
103,10.062179115815276,103.0,10070.03277918893,Lose
104,10.061172897903695,104.0,10059.970600073115,Lose
105,10.063185132483277,105.0,10070.031772971019,Win
106,10.065197769509773,106.0,10080.094958103502,Win
107,10.064191249732822,107.0,10070.029760333991,Lose
108,10.066204087982769,108.0,10080.093951583724,Win
109,10.068217328800365,109.0,10090.160155671707,Win
110,10.070230972266126,110.0,10100.228373000507,Win
111,10.07224501846058,111.0,10110.298603972773,Win
112,10.071237793958733,112.0,10100.226358954313,Lose
113,10.073252041517526,113.0,10110.29759674827,Win
114,10.072244716313374,114.0,10100.224344706754,Lose
115,10.074259165256636,115.0,10110.296589423067,Win
116,10.076274017089688,116.0,10120.370848588323,Win
117,10.075266389687979,117.0,10110.294574571233,Lose
118,10.07425886304901,118.0,10100.219308181546,Lose
119,10.07627371482162,119.0,10110.293567044595,Win
120,10.078288969564584,120.0,10120.369840759417,Win
121,10.077281140667628,121.0,10110.291551789853,Lose
122,10.076273412553562,122.0,10100.214270649185,Lose
123,10.078288667236071,123.0,10110.290544061738,Win
124,10.080304324969518,124.0,10120.368832728975,Win
125,10.082320385834512,125.0,10130.449137053944,Win
126,10.08433684991168,126.0,10140.531457439778,Win
127,10.083328416226689,127.0,10130.447120589866,Lose
128,10.082320083385065,128.0,10120.363792173639,Lose
129,10.081311851376727,129.0,10110.281472090253,Lose
130,10.083328113747003,130.0,10120.36278394163,Win
131,10.085344779369752,131.0,10130.446112055377,Win
132,10.084336244891816,132.0,10120.360767276006,Lose
133,10.083327811267326,133.0,10110.276431031114,Lose
134,10.0823194784862,134.0,10100.193103219846,Lose
135,10.084335942381896,135.0,10110.275422698332,Win
136,10.083327508787658,136.0,10100.19108675595,Lose
137,10.08231917603678,137.0,10090.107759247163,Lose
138,10.081310944119176,138.0,10080.025440071126,Lose
139,10.080302813024764,139.0,10069.944129127007,Lose
140,10.079294782743462,140.0,10059.863826313982,Lose
141,10.078286853265189,141.0,10049.784531531239,Lose
142,10.08030251063584,142.0,10059.862818384505,Win
143,10.079294480384778,143.0,10049.782515873869,Lose
144,10.081310339280854,144.0,10059.861810354254,Win
145,10.080302208246927,145.0,10049.780500014973,Lose
146,10.079294178026103,146.0,10039.700197806726,Lose
147,10.081310036861709,147.0,10049.779491984751,Win
148,10.080301905858022,148.0,10039.69818194789,Lose
149,10.079293875667437,149.0,10029.617880042031,Lose
150,10.08130973444257,150.0,10039.697173917699,Win
151,10.083325996389458,151.0,10049.77848365214,Win
152,10.08231766378982,152.0,10039.695157655751,Lose
153,10.08130943202344,153.0,10029.612839991962,Lose
154,10.083325693909845,154.0,10039.694149423985,Win
155,10.082317361340454,155.0,10029.610823730076,Lose
156,10.084333824812722,156.0,10039.693141091417,Win
157,10.083325391430241,157.0,10029.608807266604,Lose
158,10.085342056508527,158.0,10039.692132658034,Win
159,10.084333522302876,159.0,10029.606790601525,Lose
160,10.083325088950646,160.0,10019.522457079222,Lose
161,10.08231675644175,161.0,10009.439131990272,Lose
162,10.084333219793038,162.0,10019.521448746713,Win
163,10.086350086436996,163.0,10029.605781966506,Win
164,10.085341451428352,164.0,10019.51943188007,Lose
165,10.087358519718638,165.0,10029.604773331497,Win
166,10.089375991422582,166.0,10039.692131851216,Win
167,10.08836705382344,167.0,10029.602755859793,Lose
168,10.090384727234204,168.0,10039.691122913617,Win
169,10.09240280417965,169.0,10049.781507640851,Win
170,10.094421284740486,170.0,10059.87391044503,Win
171,10.096440168997434,171.0,10069.968331729771,Win
172,10.098459457031234,172.0,10080.06477189877,Win
173,10.10047914892264,173.0,10090.1632313558,Win
174,10.099469101007747,174.0,10080.062752206877,Lose
175,10.101488994827948,175.0,10090.162221307884,Win
176,10.103509292626914,176.0,10100.263710302712,Win
177,10.10249894169765,177.0,10090.160201010085,Lose
178,10.104519441485989,178.0,10100.262699951783,Win
179,10.10350898954184,179.0,10090.158180510298,Lose
180,10.102498638642887,180.0,10080.054671520757,Lose
181,10.101488388779023,181.0,10069.952172882113,Lose
182,10.10350868645678,182.0,10080.053661270891,Win
183,10.102498335588134,183.0,10069.950152584433,Lose
184,10.104518835255252,184.0,10080.05265092002,Win
185,10.106539739022303,185.0,10090.157169755275,Win
186,10.105529085048401,186.0,10080.050630016252,Lose
187,10.104518532139895,187.0,10069.945100931203,Lose
188,10.106539435846322,188.0,10080.049619463343,Win
189,10.105528781902738,189.0,10069.943080027497,Lose
190,10.104518229024547,190.0,10059.837551245593,Lose
191,10.106539132670353,191.0,10069.942069474619,Win
192,10.105528478757085,192.0,10059.835530341948,Lose
193,10.10451792590921,193.0,10049.730001863192,Lose
194,10.10350747411662,194.0,10039.625483937283,Lose
195,10.102497123369208,195.0,10029.521976463167,Lose
196,10.104517622793882,196.0,10039.624473586537,Win
197,10.103507171031602,197.0,10029.519955963742,Lose
198,10.1024968203145,198.0,10019.41644879271,Lose
199,10.104517319678562,199.0,10029.518945613025,Win
200,10.106538223142497,200.0,10039.623462932703,Win
201,10.105527569320182,201.0,10029.51692470956,Lose
202,10.10451701656325,202.0,10019.41139714024,Lose
203,10.106537919966563,203.0,10029.515914156804,Win
204,10.105527266174565,204.0,10019.409376236837,Lose
205,10.104516713447948,205.0,10009.303848970663,Lose
206,10.103506261776603,206.0,9999.199332257216,Lose
207,10.105526963028959,207.0,10009.302838518994,Win
208,10.107548068421565,208.0,10019.408365482022,Win
209,10.106537313614723,209.0,10009.300817413601,Lose
210,10.105526659883362,210.0,9999.194280099986,Lose
211,10.107547765215338,211.0,10009.29980675987,Win
212,10.106537010438817,212.0,9999.192258994653,Lose
213,10.105526356737773,213.0,9989.085721984215,Lose
214,10.1045158041021,214.0,9978.980195627477,Lose
215,10.10350535252169,215.0,9968.875679823375,Lose
216,10.105526053592195,216.0,9978.979185175896,Win
217,10.104515500986835,217.0,9968.873659122304,Lose
218,10.103505049436738,218.0,9958.769143621317,Lose
219,10.102494698931794,219.0,9948.66563857188,Lose
220,10.10451519787158,220.0,9958.76813327081,Win
